Learning_outcome,Remember,Understand,Apply,Analyze,Evaluate,Create
 Analyze the health economic implications of efficient perioperative practice. ,,,,1,,
 Apply research skills to operate effectively as a member of a research project team. ,,,1,,,
 Assess and synthesise diverse information about information and knowledge management technologies market and how to use implementation strategies to maximise their strengths and minimise their weaknesses.  ,,,,,1,1
" Describe the general characteristics of the modern X-ray system used in clinical practice, including scientific principles, and production of the digital image. ",,1,,,,
 Evaluate the different models of perioperative care that exist globally. ,,,,,1,
 explain key terms and concepts used to engage with big data involving digital language and contribute to informed debates on digital language;,,1,,,,
 Identify an issue of relevance to the practice of perioperative medicine capable of further investigation and research within the context of a capstone project. ,,,,1,,
" Identify the key features of the use of radiation, how it produces the image, and its safe use in diagnostic radiographic practice. ",,,,1,,
 Recognise the key role that human factors play in the leadership and development of a highly functional perioperative team. ,1,,,,,
" Rigorously quantify the mixing of various classes of finite Markov chains, using a variety of techniques; ",,,1,,,
 Understand the importance of defining and accurately measuring patient outcomes and the implication to best practice. ,,1,,,,
"(For students of the Japanese language only:) utilize Japanese language skills in academic research and discussion of contemporary issues in Japan, as appropriate to proficiency level.",,,1,,,
"1. demonstrate advanced understanding and application of financial management theory, challenges, methods, tools and frameworks",,,1,,,
"1. demonstrate an understanding and application of methods, strategies, tactics, and tools for developing connection, communication and community",,,1,,,
"1. Identifyroles and responsibilities of health professionals in the care of childbearing women, neonates, children &adolescents.",,,,1,,
"2. Outline key aspects of the assessment and care of the woman and baby during the antenatal, perinatal and postnatal periods.",1,,,,,
"3. Describe a systematic approach to paediatric assessment that reflects changes in growth, development and anatomy and physiology differences.",,1,,,,
"4.Analysea variety of communication skills to effectively engage and interact with children, their families and the multidisciplinary health care team",,,,1,,
"5.Discuss the impact of hospitalization on the child and family and identify strategies, including family centred care, to support families through the experience.",,1,,,,
"6.Identify appropriate management, prevention and health promotion strategies for common childhood illness/injury.",,,,1,,
"A basic understanding of key features of modern Chinese history with reference to: East-West perspectives on Chinese Studies; May Fourth concepts of enlightenment, democracy, science and nationalism; the Cultural Revolution and the renewal of humanist values in post-Mao China",,1,,,,
"A basic understanding of key issues in contemporary Chinese society and politics, focused on (i) the concepts of trust and justice; (ii) media reporting in and about present-day China; (iii) Chinese nationalism and patriotism; and (iv) public culture and debate in the Chinese-speaking world;",,1,,,,
"a basic understanding of the main periods, styles, genres, intellectual preoccupations and socio-historical trends in German literature from the late eighteenth century to the early nineteenth century;",,1,,,,
"a basic understanding of the main periods, styles, genres, intellectual preoccupations and socio-historical trends in modern German literature;",,1,,,,
A broad appreciation of the psychological and socio-cultural mechanisms underpinning understandings of the self and interactions with others.,,1,,,,
A capacity to describe and understand a variety of methods used to value the environment;,,1,,,,
"A capacity to design, manage, and carry out a research project.",,,,,,1
"A capacity to work effectively as a member of a team through well-developed skills in job planning, time management, problem solving, critical thinking and the organisation of work;",,,1,,,
"A clear understanding of how traumatic memory shapes the representation of violence and suffering from an international perspective, through fiction and non-fiction writing (including novels, memoirs and works of historiography); film and television; museums and memorials; and photography, painting, and other media.",,1,,,,
A critical awareness of the issues surrounding contemporary forms and styles of environmental governance.,,1,,,,
"A critical sense of the development of the broad field of travel and representation, with knowledge of the diversity of modes and discourses it encompasses",,1,,,,
A critical understanding of cultural diversity in contemporary Australia.,,1,,,,
A critical understanding of the functioning of the three elements of the criminal justice system and of the system as a whole;,,1,,,,
A critical understanding of the place and function of sensible form in art theory;,,1,,,,
A critical understanding of the role specific disasters and disasters in general have played in the development of global society;,,1,,,,
A critical understanding of the various facets of crime and the crime problem particularly from an African perspective;,,1,,,,
A critical understanding of the various interpretations that inform the historical and contemporary analysis of these phenomena;,,1,,,,
A critical understanding of this fascinating society and its historiography,,1,,,,
A deeper critical understanding of their own and other people's social identities,,1,,,,
"A deeper knowledge of the concepts of modernity and tradition, and the problems of cultural ownership and authenticity, and an understanding of contemporary issues regarding copyright law;",,1,,,,
a demonstrated ability to apply the methodology of materials and process selection for agiven engineering application,,,1,,,
a demonstrated ability to apply the principles of microstructural design for mechanicalapplications,,,1,,,
a demonstrated ability to communicate in both written and verbal form the physicalmetallurgy of different alloys classes.,,,1,,,
A demonstrated ability to conduct comparative studies;,,,1,,,
"A demonstrated ability to critically analyse and compare practical and policy responses to contemporary challenges of crime, justice and development in different jurisdictions;",,,,1,1,
a detailed appreciation of the combinations of mechanical properties exhibited by engineering alloys and how these compare with other materials classes,,1,,,,
A detailed understanding of a key issue or debate in the discipline.,,1,,,,
A developed capacity to undertake original research on an area of their particular interest;,,,1,,,
"A focus upon the production of scholarly research as the end point of a process of reading, discussion, drafting and debate.",,,,,,1
A full understanding of the complexities of provision of services with evidence of appreciation of the wider context in which the client operates and in which the service is provided.,,1,,,,
"A general knowledge of the social, political and cultural development that has characterised post-Mao China, Chinese society, its people and its culture (through examination of the historical contexts of a number of literary texts published in China after the 1980s);",1,,,,,
"A general knowledge of the social, political and cultural development that has characterised post-Mao China, Chinese society, its people and its culture (through examination of the historical contexts of a number of literary texts published in China after the 1980s)",1,,,,,
A general theoretical awareness of the problematic of cross cultural readings;,1,,,,,
"A good knowledge of major cultural, social and political changes in twentieth century China",,1,,,,
A good knowledge of the academic literature relevant to studies of contemporary China;,,1,,,,
A good understanding of the five developmental levels on which to assess developmental progress or delay,,1,,,,
A grounded working knowledge of the major theoretical and methodological approaches on sex and the media;,,1,,,,
A grounded working knowledge of the major theoretical and methodological approaches to men and masculinity,,1,,,,
A grounded working knowledge of the major theoretical approaches that constitute the field of feminist approaches to crime and justice.,,1,,,,
"A knowledge of events leading to the Holocaust, its course and aftermath",1,,,,,
"A knowledge of the city of Florence itself - including its churches, palaces, museums, piazzas, monuments and streets - as an artefact of its complex history",1,,,,,
"A knowledge of the main events, processes, issues, personalities, ideas and politics in the modern history of Africa ",1,,,,,
A knowledge of the use of computers in automating and increasing the precision of manufacturing (CAM).,1,,,,,
A practical understanding of the major themes and styles of writing in modern and contemporary Australian literatures;,,1,,,,
A practical understanding of the uses of a range of commercial ADR processes.,,1,,,,
A range of statistical techniques and when it is appropriate to use them.  Students are also required to demonstrate their ability to develop a research proposal.,,,,,,1
A solid foundation of knowledge about the Second World War in Asia and the Pacific,1,,,,,
A sophisticated understanding of modernist aesthetics and themes;,,1,,,,
A sound interpretation of their data and discuss their interpretation in a scientific manner.,,1,,,,
A sound understanding of the requirements of working with others in a position of responsibility;,,1,,,,
"A strong kinaesthetic approach to centering the body, and to centering the voice and breath in the body through practice and theoretical understanding*",,1,,,,
A stronger understanding of the ethical challenges of disaster response;,,1,,,,
A theoretical understanding of the histories and theories of actor training*,,1,,,,
"A thorough knowledge of how contested representations and understandings of disaster have explored issues of responsibility, mitigation, vulnerability and social change;",,1,,,,
"A thorough understanding of the utility of mathematical model simulations to aid in design and processing of materials (computer aided analysis, CAA)",,1,,,,
Ability to analyse and reflect on international journalism professional practice;,,,,1,,
Ability to apply basic traffic flow theory to the analysis of unsignalised intersection capacity,,,1,,,
Ability to apply the principles and practice of journalism that they have learnt in their undergraduate studies in an international context;,,,1,,,
Ability to articulate critical interpretations of dramatic texts and processes in systematic written argument.,,,,,1,
"Ability to communicate with researchers in data-related issues of design, conduct and analysis of studies.",,,,,,1
Ability to conduct impact assessments with reference to PTSD and traumagenics;,,,1,,,
Ability to critically analyse proposed development project plans for possible environmental effects and identify mitigation measures.,,,,1,,
Ability to design timing plans for isolated traffic signals,,,,,,1
"Ability to design, undertake and analyse traffic surveys",,,,1,,1
Ability to develop a formulation with the clientThemeslabel Specific CBT techniques,,,,,,1
Ability to devise a maintenance cycle and use this to this set targetsThemeslabel Basic CBT competences,,,,,,1
Ability to embody critical interpretations of performance theories and forms in practical work,,,,,1,
Ability to engage in debates between various 'generations' of digital literature practitioners and critics;,,,,,1,
Ability to explain and demonstrate rationale for CBT to clientThemeslabel Basic CBT competences,,,1,,,
Ability to manage endingsThemeslabel Generic therapeutic competences,,,1,,,
Ability to perform research in theatre history,,,,,,1
"Ability to situate digital literatures within changes in the broader contemporary book world, especially around digital technologies and eBooks;",,,1,,,
Ability to structure sessionsThemeslabel Basic CBT competences,,,,,,1
Ability to use measures and self-monitoring to guide therapy and to monitor outcomeThemeslabel Basic CBT competences,,,1,,,
"Ability to write process notes, report and refer problems experienced by the child client;",,,,,,1
Able to conduct scientific literature search related to a research topic in nutrition.,,,1,,,
Able to effectively communicate the opinion drawn based on scientific evidence in oral and written formats.,,,,,,1
"Able to synthesise and interpret relevant material and to communicate ideas to others in a coherent manner, by either written or verbal means.",,,,,1,1
